Currency,Last Price,Change,% Change
EUR/USD,1.0670,-0.0061,-0.57%
USD/JPY,153.3230,+0.1200,+0.08%
GBP/USD,1.2506,-0.0049,-0.39%
AUD/USD,0.6511,-0.0029,-0.45%
NZD/USD,0.5974,-0.0025,-0.42%
EUR/JPY,163.5300,-0.8060,-0.49%
GBP/JPY,191.7190,-0.6110,-0.32%
EUR/GBP,0.8529,-0.0013,-0.16%
EUR/CAD,1.4649,-0.0032,-0.22%
EUR/SEK,11.5225,+0.0229,+0.20%
EUR/CHF,0.9737,-0.0019,-0.19%
EUR/HUF,391.4000,+2.0000,+0.51%
EUR/JPY,163.5300,-0.8060,-0.49%
USD/CNY,7.2370,+0.0002,+0.00%
USD/HKD,7.8365,-0.0010,-0.01%
USD/SGD,1.3579,+0.0053,+0.39%
USD/INR,83.3875,+0.0835,+0.10%
USD/MXN,16.4780,+0.0667,+0.41%
USD/PHP,56.5310,+0.1020,+0.18%
USD/IDR,"15,840.0000",+1.0000,+0.01%
USD/THB,36.4300,-0.0150,-0.04%
USD/MYR,4.7685,+0.0235,+0.50%
USD/ZAR,18.7515,+0.0304,+0.16%
USD/RUB,93.3780,+0.1101,+0.12%
